id,category,genre
283640,"2,1,24,22,28,29,43,44","1,23,3"
285160,"2,1,24,22,28,23,41,42,43,44","1,25"
307880,"2,1,9,38,22,29,23","1,25,23,3,28"
270450,"2,1,9,24,22,28,29,30,23,15,25,44","1,23,18"
214360,"2,1,49,36,9,38,27,22,29,30,23,8,15,25","1,23,2"
243970,"2,22,29,23,42","1,23,2"
319910,"2,1,9,38,39,24,22,28,29,30,23,17,43,44","1,25,23"
315430,"2,1,24,22,29,18,44","1,25,23,2"
449680,"2,22,29","1,4,23"
414700,"2,22,28,29,23,43","1,25,23"
418340,"2,1,49,36,9,38,22,28,13,23,43","1,25,23"
515220,"2,1,22,28,30,23,25,43","9,28,18"
247020,"2,1,24,22,28,29,23,25,43,44","1,23,28,2"
257750,"2,1,49,36,37,9,38,39,24,22,28,29,30,15,17,44","1,25,4,23"
258520,"2,22,28,29,23,43","25,23"
234080,"2,22,28,23","1,25"
290300,"2,22,28,23,43","1,25,23,3,28"
443810,"2,22,28,29,23,43","25,23,2"
469820,"2,1,49,36,37,24,22,28,13,41,42,43,44","1,23"
313340,"2,22,29,31,18,23","4,23,3,28"
274560,"2,1,49,36,37,9,38,39,24,22,28,29,23,25,43,44","1,25,23"
40400,"2,1,9,38,48,27,22,29","23,2"
512900,"2,1,49,36,47,37,9,38,48,39,24,27,22,28,29,30,23,17,41,42,43,44","1,25,23,3"
295790,"2,1,9,39,24,22,28,29,23,44","1,25,4,23"
251990,"2,22,28,29","23,3,28,2"
397950,"2,22,28,30,15,25,17,43","1,23"
356570,"2,1,9,39,24,22,28,29,42,43,44","1,23,2"
252410,"2,22,28,29,23,43","1,25,23"
290790,"2,1,22,29,30,23,8,15,25,17",2
272510,"2,1,22,18,23,25","1,25"
208500,"2,1,9,22,18,23,25","9,28,18"
230190,"2,1,49,36,27,22,29,13,30,23,25,17","23,28,2"
403190,"2,22,29,30","23,28,2"
333420,"2,1,49,36,9,38,22,29,30,23,17,14","1,25,2"
368730,"2,1,49,37,24,22,28,29,30,23,17,43,44","1,25,4,23"
